country,date,sector,value20,value21,,country,date,sector,value20a,valuie21a,,,country,date,sector,value20b,value21b,,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d
ROW,1/10/2020,Power,10.0759,8.73014,,ROW,1/10/2020,Industry,9.37786,8.91893,,,ROW,1/10/2020,Domestic Aviation,0.197331,0.121892,,,ROW,1/10/2020,International Aviation,0.803297,0.353009,,ROW,1/10/2020,Residential,5.37466,5.64714
Russia,1/10/2020,Power,2.7508,2.55588,,Russia,1/10/2020,Industry,0.67021,0.6281,,,Russia,1/10/2020,Domestic Aviation,0.0447173,0.0465287,,,Russia,1/10/2020,International Aviation,0.0347362,0.0128732,,Russia,1/10/2020,Residential,0.773561,0.915782
United States,1/10/2020,Power,3.42611,4.68412,,United States,1/10/2020,Industry,2.69725,3.01471,,,United States,1/10/2020,Domestic Aviation,0.505629,0.286684,,,United States,1/10/2020,International Aviation,0.224712,0.115697,,United States,1/10/2020,Residential,2.39036,3.21877
WORLD,1/10/2020,Power,39.9751,41.1844,,WORLD,1/10/2020,Industry,27.3768,28.5206,,,WORLD,1/10/2020,Domestic Aviation,1.05936,0.702604,,,WORLD,1/10/2020,International Aviation,1.71363,0.736333,,WORLD,1/10/2020,Residential,17.7214,19.2813
Brazil,1/11/2020,Power,0.26963,0.334014,,Brazil,1/11/2020,Industry,0.28105,0.346803,,,Brazil,1/11/2020,Domestic Aviation,0.033202,0.028794,,,Brazil,1/11/2020,International Aviation,0.020617,0.00717209,,Brazil,1/11/2020,Residential,0.0984519,0.0984519
China,1/11/2020,Power,15.6415,16.5806,,China,1/11/2020,Industry,9.8465,11.2052,,,China,1/11/2020,Domestic Aviation,0.187943,0.160753,,,China,1/11/2020,International Aviation,0.0927558,0.0262272,,China,1/11/2020,Residential,3.85131,4.28391
EU27 & UK,1/11/2020,Power,2.36595,2.94064,,EU27 & UK,1/11/2020,Industry,1.41709,1.69466,,,EU27 & UK,1/11/2020,Domestic Aviation,0.0288861,0.0175814,,,EU27 & UK,1/11/2020,International Aviation,0.4451,0.138351,,EU27 & UK,1/11/2020,Residential,2.65899,3.26005
India,1/11/2020,Power,3.35184,3.52265,,India,1/11/2020,Industry,2.11355,2.04764,,,India,1/11/2020,Domestic Aviation,0.021226,0.0164256,,,India,1/11/2020,International Aviation,0.0367868,0.0132819,,India,1/11/2020,Residential,2.24731,1.4943
ROW,1/11/2020,Power,9.46714,9.45573,,ROW,1/11/2020,Industry,9.03075,9.50822,,,ROW,1/11/2020,Domestic Aviation,0.173726,0.127689,,,ROW,1/11/2020,International Aviation,0.813614,0.296922,,ROW,1/11/2020,Residential,5.60145,5.39114
Russia,1/11/2020,Power,2.70854,2.72362,,Russia,1/11/2020,Industry,0.659912,0.669321,,,Russia,1/11/2020,Domestic Aviation,0.0410847,0.041368,,,Russia,1/11/2020,International Aviation,0.0383489,0.0105961,,Russia,1/11/2020,Residential,0.789575,1.00371
United States,1/11/2020,Power,3.21446,4.80658,,United States,1/11/2020,Industry,2.68547,3.086,,,United States,1/11/2020,Domestic Aviation,0.420167,0.297625,,,United States,1/11/2020,International Aviation,0.231746,0.123879,,United States,1/11/2020,Residential,2.16252,3.27044
WORLD,1/11/2020,Power,38.5497,42.2525,,WORLD,1/11/2020,Industry,26.6662,29.2261,,,WORLD,1/11/2020,Domestic Aviation,0.932421,0.709032,,,WORLD,1/11/2020,International Aviation,1.73569,0.634611,,WORLD,1/11/2020,Residential,17.9535,19.4919
Brazil,1/12/2020,Power,0.266044,0.345634,,Brazil,1/12/2020,Industry,0.277311,0.358868,,,Brazil,1/12/2020,Domestic Aviation,0.0310422,0.0287985,,,Brazil,1/12/2020,International Aviation,0.0196935,0.00711674,,Brazil,1/12/2020,Residential,0.0984519,0.0984519
China,1/12/2020,Power,15.3089,16.6013,,China,1/12/2020,Industry,9.63708,11.2192,,,China,1/12/2020,Domestic Aviation,0.186318,0.158944,,,China,1/12/2020,International Aviation,0.0879837,0.0290906,,China,1/12/2020,Residential,3.88063,3.79226
EU27 & UK,1/12/2020,Power,2.02623,3.07211,,EU27 & UK,1/12/2020,Industry,1.21361,1.77042,,,EU27 & UK,1/12/2020,Domestic Aviation,0.0365971,0.0148956,,,EU27 & UK,1/12/2020,International Aviation,0.456121,0.117804,,EU27 & UK,1/12/2020,Residential,2.74744,3.06996
India,1/12/2020,Power,3.33068,3.55125,,India,1/12/2020,Industry,2.10021,2.06426,,,India,1/12/2020,Domestic Aviation,0.0207236,0.0150434,,,India,1/12/2020,International Aviation,0.0366399,0.0142309,,India,1/12/2020,Residential,1.85443,1.92822
ROW,1/12/2020,Power,8.96261,9.62738,,ROW,1/12/2020,Industry,8.5449,9.50979,,,ROW,1/12/2020,Domestic Aviation,0.177602,0.120671,,,ROW,1/12/2020,International Aviation,0.822769,0.288972,,ROW,1/12/2020,Residential,6.30991,5.06751
Russia,1/12/2020,Power,2.65253,2.77819,,Russia,1/12/2020,Industry,0.646267,0.682731,,,Russia,1/12/2020,Domestic Aviation,0.0426568,0.0354454,,,Russia,1/12/2020,International Aviation,0.0381586,0.00977712,,Russia,1/12/2020,Residential,0.784106,1.07508
United States,1/12/2020,Power,3.41875,4.65954,,United States,1/12/2020,Industry,2.77555,3.024,,,United States,1/12/2020,Domestic Aviation,0.412424,0.298675,,,United States,1/12/2020,International Aviation,0.229968,0.107023,,United States,1/12/2020,Residential,2.40762,3.11211
WORLD,1/12/2020,Power,37.4737,42.3355,,WORLD,1/12/2020,Industry,25.8175,29.2308,,,WORLD,1/12/2020,Domestic Aviation,0.933298,0.688316,,,WORLD,1/12/2020,International Aviation,1.74548,0.59406,,WORLD,1/12/2020,Residential,18.6319,18.8234
Brazil,1/13/2020,Power,0.27258,0.338404,,Brazil,1/13/2020,Industry,0.284125,0.351361,,,Brazil,1/13/2020,Domestic Aviation,0.0340923,0.0274008,,,Brazil,1/13/2020,International Aviation,0.0197006,0.007679,,Brazil,1/13/2020,Residential,0.0984519,0.0984519
