country,date,sector,value20,,country,date,sector,value21,,Country,date,sector,value19
Brazil,1/7/2020,Power,0.317706,,Brazil,1/7/2021,Power,0.345316,,Brazil,7/1/2019,Power,0.11298
Brazil,1/7/2020,Residential,0.0984519,,Brazil,1/7/2021,Residential,0.0984519,,Brazil,7/1/2019,Residential,0.0984519
China,1/7/2020,Domestic Aviation,0.175264,,China,1/7/2021,Domestic Aviation,0.157986,,China,7/1/2019,Domestic Aviation,0.163271
China,1/7/2020,Ground Transport,2.59584,,China,1/7/2021,Ground Transport,2.45723,,China,7/1/2019,Ground Transport,2.53385
China,1/7/2020,Industry,9.85018,,China,1/7/2021,Industry,11.3256,,China,7/1/2019,Industry,10.2223
China,1/7/2020,International Aviation,0.0866091,,China,1/7/2021,International Aviation,0.0319084,,China,7/1/2019,International Aviation,0.0777384
China,1/7/2020,Power,15.6474,,China,1/7/2021,Power,16.7586,,China,7/1/2019,Power,14.5458
China,1/7/2020,Residential,3.4986,,China,1/7/2021,Residential,5.05419,,China,7/1/2019,Residential,3.82013
India,1/7/2020,Domestic Aviation,0.0210049,,India,1/7/2021,Domestic Aviation,0.015554,,India,7/1/2019,Domestic Aviation,0.0205101
India,1/7/2020,Ground Transport,0.854858,,India,1/7/2021,Ground Transport,0.825769,,India,7/1/2019,Ground Transport,0.851924
India,1/7/2020,Industry,2.14414,,India,1/7/2021,Industry,1.98385,,India,7/1/2019,Industry,2.07253
India,1/7/2020,International Aviation,0.0349201,,India,1/7/2021,International Aviation,0.0166196,,India,7/1/2019,International Aviation,0.033142
India,1/7/2020,Power,3.40035,,India,1/7/2021,Power,3.41291,,India,7/1/2019,Power,3.3482
India,1/7/2020,Residential,1.42109,,India,1/7/2021,Residential,0.838383,,India,7/1/2019,Residential,1.46101
Russia,1/7/2020,Domestic Aviation,0.0421522,,Russia,1/7/2021,Domestic Aviation,0.0399969,,Russia,7/1/2019,Domestic Aviation,0.0406828
Russia,1/7/2020,Ground Transport,0.546429,,Russia,1/7/2021,Ground Transport,0.531727,,Russia,7/1/2019,Ground Transport,0.48286
Russia,1/7/2020,Industry,0.64506,,Russia,1/7/2021,Industry,0.600876,,Russia,7/1/2019,Industry,0.629715
Russia,1/7/2020,International Aviation,0.0320908,,Russia,1/7/2021,International Aviation,0.00965212,,Russia,7/1/2019,International Aviation,0.0298711
Russia,1/7/2020,Power,2.64758,,Russia,1/7/2021,Power,2.4451,,Russia,7/1/2019,Power,2.90387
Russia,1/7/2020,Residential,0.77195,,Russia,1/7/2021,Residential,0.908283,,Russia,7/1/2019,Residential,0.966753
