country,date,sector,value20,,country,date,sector,value21,,country,date,sector,value19
United States,1/4/2020,International Aviation,0.239601,,United States,1/4/2021,International Aviation,0.12427,,United States,4/1/2019,International Aviation,0.222405
United States,1/4/2020,Power,3.42812,,United States,1/4/2021,Power,4.0547,,United States,4/1/2019,Power,4.36234
United States,1/4/2020,Residential,2.45273,,United States,1/4/2021,Residential,2.79149,,United States,4/1/2019,Residential,2.8198
WORLD,1/4/2020,Domestic Aviation,1.0099,,WORLD,1/4/2021,Domestic Aviation,0.816147,,WORLD,4/1/2019,Domestic Aviation,0.998757
WORLD,1/4/2020,Ground Transport,16.6885,,WORLD,1/4/2021,Ground Transport,16.5878,,WORLD,4/1/2019,Ground Transport,17.3865
WORLD,1/4/2020,Industry,26.028,,WORLD,1/4/2021,Industry,28.9353,,WORLD,4/1/2019,Industry,28.1799
WORLD,1/4/2020,International Aviation,1.84192,,WORLD,1/4/2021,International Aviation,0.679266,,WORLD,4/1/2019,International Aviation,1.68951
WORLD,1/4/2020,Power,37.4166,,WORLD,1/4/2021,Power,40.8359,,WORLD,4/1/2019,Power,40.2378
WORLD,1/4/2020,Residential,16.3754,,WORLD,1/4/2021,Residential,17.0994,,WORLD,4/1/2019,Residential,18.3949
Brazil,1/5/2020,Domestic Aviation,0.0310212,,Brazil,1/5/2021,Domestic Aviation,0.0302979,,Brazil,5/1/2019,Domestic Aviation,0.0312063
Brazil,1/5/2020,Ground Transport,0.292273,,Brazil,1/5/2021,Ground Transport,0.427563,,Brazil,5/1/2019,Ground Transport,0.371087
Brazil,1/5/2020,Industry,0.33117,,Brazil,1/5/2021,Industry,0.362657,,Brazil,5/1/2019,Industry,0.26446
Brazil,1/5/2020,International Aviation,0.0202887,,Brazil,1/5/2021,International Aviation,0.0075837,,Brazil,5/1/2019,International Aviation,0.0221384
Brazil,1/5/2020,Power,0.317714,,Brazil,1/5/2021,Power,0.349283,,Brazil,5/1/2019,Power,0.118626
Brazil,1/5/2020,Residential,0.0984519,,Brazil,1/5/2021,Residential,0.0984519,,Brazil,5/1/2019,Residential,0.0984519
China,1/5/2020,Domestic Aviation,0.173781,,China,1/5/2021,Domestic Aviation,0.162283,,China,5/1/2019,Domestic Aviation,0.159385
