country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
United States,1/7/2020,Power,3.88363,,,United States,1/7/2020,Industry,2.83316,,,,United States,1/7/2020,Domestic Aviation,0.494261,,,,United States,1/7/2020,International Aviation,0.219429,,,,United States,1/7/2020,Ground Transport,4.31709,,,,United States,1/7/2020,Residential,2.81352,,
WORLD,1/7/2020,Power,40.4704,,,WORLD,1/7/2020,Industry,27.8553,,,,WORLD,1/7/2020,Domestic Aviation,1.03113,,,,WORLD,1/7/2020,International Aviation,1.62573,,,,WORLD,1/7/2020,Ground Transport,18.3847,,,,WORLD,1/7/2020,Residential,17.4654,,
Brazil,1/8/2020,Power,0.310592,,,Brazil,1/8/2020,Industry,0.323746,,,,Brazil,1/8/2020,Domestic Aviation,0.0272945,,,,Brazil,1/8/2020,International Aviation,0.019303,,,,Brazil,1/8/2020,Ground Transport,0.484112,,,,Brazil,1/8/2020,Residential,0.0984519,,
China,1/8/2020,Power,15.4023,,,China,1/8/2020,Industry,9.69587,,,,China,1/8/2020,Domestic Aviation,0.164148,,,,China,1/8/2020,International Aviation,0.0843144,,,,China,1/8/2020,Ground Transport,2.60321,,,,China,1/8/2020,Residential,3.65757,,
EU27 & UK,1/8/2020,Power,3.0114,,,EU27 & UK,1/8/2020,Industry,1.80368,,,,EU27 & UK,1/8/2020,Domestic Aviation,0.022899,,,,EU27 & UK,1/8/2020,International Aviation,0.371858,,,,EU27 & UK,1/8/2020,Ground Transport,2.64746,,,,EU27 & UK,1/8/2020,Residential,2.49706,,
India,1/8/2020,Power,3.38404,,,India,1/8/2020,Industry,2.13386,,,,India,1/8/2020,Domestic Aviation,0.0191901,,,,India,1/8/2020,International Aviation,0.0361762,,,,India,1/8/2020,Ground Transport,0.856364,,,,India,1/8/2020,Residential,1.55735,,
ROW,1/8/2020,Power,9.83011,,,ROW,1/8/2020,Industry,9.4515,,,,ROW,1/8/2020,Domestic Aviation,0.15622,,,,ROW,1/8/2020,International Aviation,0.758282,,,,ROW,1/8/2020,Ground Transport,6.61746,,,,ROW,1/8/2020,Residential,5.40117,,
Russia,1/8/2020,Power,2.64853,,,Russia,1/8/2020,Industry,0.645292,,,,Russia,1/8/2020,Domestic Aviation,0.0418221,,,,Russia,1/8/2020,International Aviation,0.0316773,,,,Russia,1/8/2020,Ground Transport,0.564989,,,,Russia,1/8/2020,Residential,0.772968,,
United States,1/8/2020,Power,3.621,,,United States,1/8/2020,Industry,2.64498,,,,United States,1/8/2020,Domestic Aviation,0.419206,,,,United States,1/8/2020,International Aviation,0.204066,,,,United States,1/8/2020,Ground Transport,4.40858,,,,United States,1/8/2020,Residential,3.10136,,
WORLD,1/8/2020,Power,39.9258,,,WORLD,1/8/2020,Industry,27.4082,,,,WORLD,1/8/2020,Domestic Aviation,0.873962,,,,WORLD,1/8/2020,International Aviation,1.5597,,,,WORLD,1/8/2020,Ground Transport,18.6708,,,,WORLD,1/8/2020,Residential,17.5498,,
Brazil,1/9/2020,Power,0.318397,,,Brazil,1/9/2020,Industry,0.331882,,,,Brazil,1/9/2020,Domestic Aviation,0.0330129,,,,Brazil,1/9/2020,International Aviation,0.0188783,,,,Brazil,1/9/2020,Ground Transport,0.485902,,,,Brazil,1/9/2020,Residential,0.0984519,,
China,1/9/2020,Power,15.2242,,,China,1/9/2020,Industry,9.58381,,,,China,1/9/2020,Domestic Aviation,0.166207,,,,China,1/9/2020,International Aviation,0.0876839,,,,China,1/9/2020,Ground Transport,2.60404,,,,China,1/9/2020,Residential,3.666,,
EU27 & UK,1/9/2020,Power,2.99482,,,EU27 & UK,1/9/2020,Industry,1.79375,,,,EU27 & UK,1/9/2020,Domestic Aviation,0.0407674,,,,EU27 & UK,1/9/2020,International Aviation,0.411132,,,,EU27 & UK,1/9/2020,Ground Transport,2.66784,,,,EU27 & UK,1/9/2020,Residential,2.32731,,
India,1/9/2020,Power,3.3197,,,India,1/9/2020,Industry,2.09329,,,,India,1/9/2020,Domestic Aviation,0.0200853,,,,India,1/9/2020,International Aviation,0.0354883,,,,India,1/9/2020,Ground Transport,0.861154,,,,India,1/9/2020,Residential,2.01431,,
ROW,1/9/2020,Power,9.81301,,,ROW,1/9/2020,Industry,9.59091,,,,ROW,1/9/2020,Domestic Aviation,0.180453,,,,ROW,1/9/2020,International Aviation,0.774694,,,,ROW,1/9/2020,Ground Transport,6.67811,,,,ROW,1/9/2020,Residential,5.39111,,
Russia,1/9/2020,Power,2.70516,,,Russia,1/9/2020,Industry,0.65909,,,,Russia,1/9/2020,Domestic Aviation,0.0410638,,,,Russia,1/9/2020,International Aviation,0.0345189,,,,Russia,1/9/2020,Ground Transport,0.659892,,,,Russia,1/9/2020,Residential,0.765887,,
